,出演時間,バンド名,コピーバンド元
,<b>バンドの部</b>,,
1,10:30-11:00,8823/04,スピッツ
2,11:00-11:25,3月のライオン,スキマスイッチ
3,11:25-11:55,WHITEROBE,White ash
4,11:55-12:25,P.A.レミ蔵,レミオロメン
,,　,
,12:25-13:25,(休憩),
,,　,
,<b>弾き語りの部</b>,,
1,13:25-13:50,"さいたまりお<br>(ローズマリー, えびまお)",
2,13:50-14:15,"銀の豚<br>(えばら, せいろく)",
3,14:15-14:40,オロゴン,
4,14:40-15:05,はいひふ,
,,　,
,15:05-15:25,(休憩),
,,　,
,<b>バンドの部</b>,,
1,15:25-15:55,アルバス・ダンブルドア,Galileo Galilei
2,15:55-16:25,MINION ECLAIR BARGAIN,unison square garden
3,16:25-16:55,Mr. Uper,Dr.DOWNER
4,16:55-17:25,ちょこぷりん,YUI
5,17:25-17:55,BBB,Base Ball Bear
,,　,
,17:55-18:25,シングアウト,
,,　,
,18:25,(終了),
