,出演時間,バンド名,コピーバンド元
1,10:00-10:30,トマトパンデミック,フジファブリック
2,10:30-11:00,NICONI Touches the おっ,NICO Touches the Walls
3,11:00-11:30,the hellos,the pillows
4,11:30-12:00,AMONE DAY,GREEN DAY
5,12:00-12:30,DASSA,ROSSO
,,,
,,,
,,　,
