,出演時間,バンド名,コピーバンド元
,<b>弾き語りの部</b>,,
1,11:00-11:20,超髭男,
2,11:20-11:40,ステイプラー衛,
3,11:40-12:00,みずき,
4,12:00-12:20,Rabiron,TaylorSwift
5,12:20-12:40,デデデ粉,
,,　,
,12:40-13:30,(昼休み),
,,　,
6,13:30-13:50,全増高専,
7,13:50-14:10,ゆずひとつ,ゆず
8,14:10-14:30,BMGさくら,
9,14:30-14:50,てふこ,
,,　,
,14:50-15:15,(休憩),
,<b>バンドの部</b>,,
1,15:15-15:40,盛岡南ドライビングスクール,オムニバス
2,15:40-16:00,JABEE,オムニバス
3,16:00-16:20,Hypertsurai,Superfly
4,16:20-16:45,鳥獣戯画,ウルフルズ
,,　,
,16:45-17:10,(休憩),
,,　,
5,17:10-17:35,ぼべべ,Base Ball Bear
6,17:35-17:55,サボリマシター,サンボマスター
7,17:55-18:20,Peugeot,SUPERCAR
8,18:20-18:50,おいしいなぁ蜜柑,椎名林檎
,,　,
,18:50,(ラブライブ1日目終了),
