,出演時間,バンド名,コピーバンド元
,<b>弾き語りの部</b>,,
1,13:00-13:20,雪舟,
2,13:20-13:40,ハンテーン,
3,13:40-14:00,ぱぴこ,
4,14:00-14:20,桜田,
5,14:20-14:40,オランジーナ,
,,　,
,14:40-15:30,(休憩),
,,　,
,<b>バンドの部</b>,,
6,15:30-15:55,OLIVE HILL,
7,15:55-16:25,DASSA,ROSSO
8,16:25-16:50,The NOLOVERS,The SALOVERS
9,16:50-17:15,皿宇宙人,Syrup16g
10,17:15-17:40,スシロー,サカナクション
,,　,
,17:40-18:10,(休憩),
,,　,
11,18:10-18:40,amayodori,amazarashi
12,18:40-19:05,Tefts,スピッツ
13,19:05-19:35,Going ni Study,GOING STEADY
14,19:35-19:55,Vecca Zuckey,LITTLE BARRIE
,,　,
,19:55,(終了),
