,出演時間,バンド名,コピーバンド元
,<b>バンドの部</b>,,
1,11:00-11:30,バンクオブゆうちょ,BUMP OF CHICKEN
2,11:30-12:00,TEN-GARDEN,ELLEGARDEN
3,12:00-12:25,すずめは真っ青,カラスは真っ白
4,12:25-12:45,素人童貞ジェネレーション,ASIAN KUNG-FU GENERATION
,,　,
,12:45-13:45,(休憩),
,,　,
,<b>弾き語りの部</b>,,
1,13:45-14:15,"オロマリーモ<br>(オロゴン, マリー, しーも)",
2,14:15-14:40,"ここら<br>(えばら, コココロン)",
3,14:40-15:00,大橋,
4,15:00-15:25,てるみん,
5,15:25-15:50,とんがりペリー,
6,15:50-16:15,佐渡ンです。,
7,16:15-16:40,あみくん,
,,　,
,16:40-17:00,(休憩),
,,　,
,<b>バンドの部</b>,,
1,17:00-17:30,にゃーにゃーダメやぁん,モーモールルギャバン
2,17:30-17:50,オレん家玩具store,ビレッジマンズストア
3,17:50-18:15,老害の終わり,THEE MICHELLE GUN ELEPHANT
4,18:15-18:40,oasis(仮),oasis
5,18:40-19:10,ストレイトパーマー,ストレイテナー
,,　,
,19:10,(終了),
