,出演時間,バンド名,コピーバンド元
1,10:00-10:25,優柔 of 不断,BUMP OF CHICKEN
2,10:25-10:50,UNTIES,B'z
3,10:50-11:10,15次会,ロードオブメジャー
4,11:10-11:35,AMO41(カリ),SUM41
5,11:35-12:00,Duquesne Train,Jimi Hendrix
,,　,
,12:00-13:00,(休憩),
,,　,
6,13:00-13:25,ココッシュ,YUI
7,13:25-13:50,オフパコ,The Offspring
8,13:50-14:15,つくばユニゾン村,UNISON SQUARE GARDEN
9,14:15-14:35,明日RanRanで,MONOEYES
10,14:35-15:00,Goosevillage,Goose house
,,　,
,15:00-15:30,(休憩),
,,　,
11,15:30-15:55,言語学概論,相対性理論
12,15:55-16:20,Mr.darenoid,Mr.Children
13,16:20-16:45,林ボブ,andymori
14,16:45-17:10,ロマンチックデパート,ASIAN KANG-FU GENREATION
,,　,
,17:10-17:25,シングアウト,
,,　,
,17:25,(終了),
