,出演時間,バンド名,コピーバンド元
,<b>弾き語りの部</b>,,
1,10:00-10:20,珍妙花子,
2,10:20-10:40,奥下琴味,
3,10:40-11:00,かじます,
,　,,
,11:00-11:30,(休憩),
,　,,
4,11:30-11:50,バビロン洋子,
5,11:50-12:10,落単芸人,
6,12:10-12:30,風間くん,
7,12:30-12:50,増田N.G.,
,　,,
,12:50-13:40,(昼休み),
,<b>バンドの部</b>,,
1,13:40-14:00,THEE MICHELLE GUN ELEPHANT,世界の終わり
2,14:00-14:25,ガールズバンド(仮),VOCALOID
3,14:25-14:50,西澤のまぜそば,初恋の嵐
,,　,
,14:50-15:20,(休憩),
,,　,
4,15:20-15:45,おうちすっきー,チャットモンチー
5,15:45-16:10,さわやかなバンドZ,オムニバス
6,16:10-16:35,負けないで優柔of不断,BUMP OF CHICKEN
,,　,
,16:35,(終了),
