,出演時間,バンド名,コピーバンド元
1,10:30-10:50,The Offpacoring,The Offspring
2,10:50-11:15,コブクロ,ふくろうず
3,11:15-11:35,SHAMOTO,SHISHAMO
4,11:35-12:00,Duquesne Train,Jimi Hendrix
5,12:00-12:25,優柔of不断,BUMP OF CHICKEN
6,12:25-12:50,トマトパンデミック,フジファブリック
,,　,
,12:50-13:50,(休憩),
,,　,
7,13:50-14:15,皿宇宙人,Syrup16g
8,14:15-14:35,ガクニキ,The Who
9,14:35-15:00,うたまろUK,UK ROCK
10,15:00-15:20,むくり(迫真),
11,15:20-15:40,Goodbye Heavyworkers,Hello Sleepwalkers
12,15:40-16:05,ぺがぬぐ,グッドモーニングアメリカ
13,16:05-16:30,NICONI Touches the おっ,NICO Touches the Walls
,,　,
,16:30-17:00,(休憩),
,,　,
14,17:00-17:25,amayadori,amazarashi
15,17:25-17:50,ココッシュ,YUI
16,17:50-18:15,AMONE DAY,Green Day
17,18:15-18:40,the hellos,the pilloes
,,　,
,18:40,(終了),
