,出演時間,バンド名,コピーバンド元
,<b>弾き語りの部</b>,,
1,13:15-13:35,BMGさくら,
2,13:35-13:55,獄千,
3,13:55-14:15,バビロン洋子,
4,14:15-14:35,しめじ,
,,　,
,14:35-15:05,(休憩),
,,　,
,<b>バンドの部</b>,,
1,15:05-15:30,DANKE SALMON,ELLEGARDEN
2,15:30-16:00,せいぶつがくるい,いきものがかり
3,16:00-16:25,THE BLACK WORKERS,THE BLUE HEARTS
4,16:25-16:50,パクチーズ,YUI
,,　,
,16:50-17:10,(休憩),
,,　,
5,17:10-17:35,[Alex&lest] ,[Alexandros]
6,17:35-18:05,JAM理論,相対性理論
7,18:05-18:30,HOKKKKKE,SHISHAMO
8,18:30-19:00,The Cigar Dog,10-FEET
,,　,
,19:00,(終了),
