,出演時間,バンド名,コピーバンド元
1,11:30-11:55,DEDEDEGARDEN,ELLEGARDEN
2,11:55-12:10,Going ni Study,GOING STEADY
3,12:10-12:30,ピカチュリン,ピロカルピン
4,12:30-12:55,おいしいなぁ蜜柑,
5,12:55-13:15,Amo31(カリ),SUM41
,,　,
,13:15-14:15,(休憩),
,,　,
6,14:15-14:40,ツチノコ,カミナリグモ
7,14:40-15:00,PingPongPanda,Base Ball Bear
8,15:00-15:25,宿舎民,
9,15:25-15:50,Tefts,スピッツ
10,15:50-16:15,OLIVE HILL,scandalなど
11,16:15-16:40,スーパーセール,supercell
,,　,
,16:40-17:10,(休憩),
,,　,
12,17:10-17:25,オレ出家,家入レオ
13,17:25-17:50,フジマトリック,フジファブリック
14,17:50-18:15,言語学概論,相対性理論
15,18:15-18:40,Behind the Matori,ストレイテナー
16,18:40-19:00,大塚倦怠感,クリープハイプ
17,19:00-19:25,割り勘関数ジェネレーター,ASIAN KUNG-FU GENERATION
,,　,
,19:25,(終了),
