,出演時間,バンド名,コピーバンド元
1,10:30～,Amones,Ramones
2,10:50～,スシロー,サカナクション
3,11:15～,エモック・クラプトン,Eric Clapton
4,11:40～,ElectricBobbyLand,Bob Dylan
5,12:05～,第一印象がいい奴にロクな奴はいない,銀魂の曲
6,12:25～,金色のマセ,デジモンのアニソン
,,　,
,12:45～,(休憩),
,,　,
7,13:45～,デデデモン,キャプテンストライダム
8,14:05～,くっじごっじー,チャットモンチー
9,14:30～,VECCA ZUCKEY,LITTLE BARRIE
10,14:55～,The NOLOVERS,The SALOVERS
11,15:20～,男の子と男の子と女の子,くるり
12,15:45～,ハッピーバースシー,HAPPY BIRTHDAY
,,　,
,16:10～,(休憩),
,,　,
13,16:40～,トマトパンデミック,フジファブリック
14,17:05～,優柔of不断,BUMP OF CHICKEN
15,17:30～,DASSA,ROSSO
16,17:55～,さわやかなバンドfeat.○○,いろいろ
17,18:20～,ロマンチックデパート,ASIAN KUNG-FU GENERATION
18,18:40～,teftz,スピッツ
19,19:05～,Ram's Head,LUNKHEAD
,,　,
,19:30,(終了),
