,出演時間,バンド名,コピーバンド元
1,11:00-11:20,maximum number<br> ~ホルモンのコピーをします~,back number
2,11:20-11:40,L'ARC<br> ~V系ふぁっく~,シド
3,11:40-12:00,マーク of 初心者<br> ~あのポール、ないじゃん~,BUMP OF CHICKEN
4,12:00-12:20,沢菜3070%<br> ~おはのいど70%~,Wienners
5,12:20-12:40,Tay-Tay<br> ~名探偵うさみちゃん！？~,Taylor Swift
,,　,
,12:40-13:40,(休憩),
,,　,
6,13:40-14:00,MOI<br> ~バビロニア帝国の仲間たち~,YUI
7,14:00-14:20,GO! GO! 未知数あたしたち<br> ~すべてがくだらない顔して、北の空見上げて待ってる~,GO!GO!7188
8,14:20-14:40,深紫<br> ~教習所のハイウェイ・スター~,Deep Purple
9,14:40-15:00,ダレノイド<br> ~レアキャラとは呼ばせない~,Mr.Children
10,15:00-15:20,御魚<br> ~サンマの塩焼き~,アナログフィッシュ
,,　,
,15:20-16:20,(フェス企画),
,,　,
11,16:20-16:40,さば缶<br> ~みそ煮がおすすめ~,ASIAN KUNG-FU GENERATION
12,16:40-17:00,ナカノノ警備隊<br> ~先輩4人で中野を警備するGirlsバンド~,相対性理論
13,17:00-17:20,たぶんROCK<br> ~ROCKﾆｷ~,ONE OK ROCK
14,17:20-17:40,100-HANDS<br> ~いつかは千手観音に~,10-FEET
,,　,
,17:40,(終了),
