,出演時間,バンド名,コピーバンド元
1,11:20-11:40,CA-JOON<br> ~みんなも一緒にゆらゆら屋良屋良~,KANA-BOON
2,11:40-12:00,進撃の久保田<br> ~そよ風を添えて~,アニソン
3,12:00-12:20,Oasisテム学類<br> ~うずまき・ギャラガーとオマンチェ野郎たち~,Oasis
4,12:20-12:40,あれ買お<br> ~本棚とウォークマン~,阿部真央
,,　,
,12:40-13:40,(休憩),
,,　,
5,13:40-14:00,さくら(独唱)<br> ~夢見る魔法少女~,相川七瀬
6,14:00-14:20,MAN WITH A MISSION<br> ~あっち向いてガオ~,flumpool
7,14:20-14:40,SEN GK ROCK<br> ~やんくみ×僕=~,ONE OK ROCK
8,14:40-15:00,"printf(""KASUGA"");<br> ~＃include<負けないで鮪 男.h>~",BUMP OF CHICKEN
9,15:00-15:20,大塚緊張感<br> ~死ぬまで一生くぼんでいられると思ってたよ~,クリープハイプ
,,　,
,15:20-15:50,(休憩),
,,　,
10,15:50-16:10,ECOIST<br> ~※メンバー数はエコじゃないです~,EGOIST
11,16:10-16:30,no! more! cigarettes!<br> ~買わない、吸わない、パーリナイ~,go!go!vanillas
12,16:30-16:50,しゃばだばドゥビドゥバーZ<br> ~私達、今だけのアイドル~,ももいろクローバーZ
,,　,
,16:50,(終了),
