,出演時間,バンド名,コピーバンド元
1,11:00-11:20,TSUKUBA concert session,Wienners
2,11:20-11:40,くるくるり,くるり
3,11:40-12:05,Lalilelo Lalilei,Galileo Galilei
4,12:05-12:30,The Easpots,The Cribs
5,12:30-12:55,DEDEDEGARDEN,ELLEGARDEN
,,　,
,12:55-13:45,(休憩),
,,　,
6,13:45-14:10,the kallows,the pillows
7,14:10-14:35,Electric Bobby Land,Led Zeppelin
8,14:35-15:00,CHARI-BYUUN,KANA-BOON
9,15:00-15:25,負け犬,Syrup16g
10,15:25-15:50,NICONI Touches the 乙,NICO Touches the Walls
,,　,
,15:50-16:10,(休憩),
,,　,
11,16:10-16:30,Dolce,Buono!
12,16:30-16:50,カザマッカートニー3,The Beatles
13,16:50-17:15,ロマンチックデパート,ASIAN KUNG-FU GENERATION
14,17:15-17:40,つくばユニゾン村,UNISON SQUARE GARDEN
15,17:40-18:05,ココッシュ,YUI
16,18:05-18:30,The Offpacoring,The Offspring
,,　,
,18:30,(終了),
