,出演時間,バンド名,コピーバンド元
1,17:00-17:30,ゼンバートゼンバート,ハンバートハンバート
2,17:30-18:00 ,ユタカーマーン,ハヌマーン，バズマザーズ
3,18:00-18:25,ドール・クオモ,Weezer
4,18:25-18:55,FATな俺！,GO!GO!7188
5,18:55-19:20,ほりもも,Girls Dead Monster
,,　,
,19:20,(終了),
