,出演時間,バンド名,コピーバンド元
1,11:00-11:30,トマトパンデミック,フジファブリック
2,11:30-12:00,うたまろUK,UK ROCK
3,12:00-12:25,ピカチュリン,ピロカルピン
,,　,
,12:25-13:10,(休憩),
,,　,
4,13:10-13:30,Amones,Ramones
5,13:30-13:55,Duquesne Train,Jimi Hendrix
6,13:55-14:20,Goodbye Heavyworkes,Hello Sleepwalkers
7,14:20-14:40,おすし屋,Oasis
,,　,
,14:40-15:20,(休憩),
,,　,
8,15:20-15:50,言語学概論,相対性理論
9,15:50-16:20,the hellos,the pillows
10,16:20-16:50,林ボブ,andymori
11,16:50-17:20,AmoneDay,GREEN DAY
12,17:20-17:50,割り勘関数ジェネレーター,ASIAN KANG-FU GENREATION
,,　,
,18:00-18:30,シングアウト,
,,　,
,18:30,(終了),
