,出演時間,バンド名,コピーバンド元
,<b>弾き語りの部</b>,,
1,11:00-11:20,フランドル晴子,
2,11:20-11:40,さくらてふ,
3,11:40-12:00,テレス,
4,12:00-12:20,めんどくさがり。,
5,12:20-12:40,9％ももの,
6,12:40-13:00,てふこ,
,,　,
,13:00-13:40,(休憩),
,,　,
,<b>バンドの部</b>,,
1,13:40-14:10,センテンススプリング,The Offspring
2,14:10-14:40,つくばユニゾン村,UNISON SQUARE GARDEN
3,14:40-15:05,ませドラ,オムニバス
4,15:05-15:30,the kallows,the pillows
5,15:30-15:55,あなたも恋する仕立て屋さん,Taylor Swift
,,　,
,15:55-16:20,(休憩),
,,　,
6,16:20-16:45,ぼべべ,Base Ball Bear
7,16:45-17:10,明日RanRanで,MONOEYES
8,17:10-17:35,ココッシュ,YUI
9,17:35-18:00,ロマンチックデパート,ASIAN KUNG-FU GENERATION
,,　,
,18:00,(終了),
