,出演時間,バンド名,コピーバンド元
,<b>弾き語りの部</b>,,
1,12:50-13:10,ステイプラー衛,
2,13:10-13:40,ゆじぬ,
3,13:40-14:05,さくら 二宮,
4,14:05-14:25,ふじはる こすぎ,
,<b>バンドの部</b>,,
5,14:25-14:50,パスタ溢れかえさせ隊(仮),THEE MICHELLE GUN ELEPHANT
6,14:50-15:15,シャンディガフ,andymori 
7,15:15-15:40,DEDEDEGARDEN,ELLEGARDEN
8,15:40-16:00,さわやかなバンド vs. TOJO K-ON,さわやかな曲
9,16:00-16:30,cineplex,cinema staff
10,16:30-16:55,ちゃんこいたっち,NICO Touches the Walls
11,16:55-17:25,うぇぇぇい！！！元会長バンドだぞぉぉぇい,オムニバス
,,　,
,17:25,(終了),
