,出演時間,バンド名,コピーバンド元
1,10:30-10:50,さまぁ～ず,オムニバス
2,10:55-11:15,HOKKKKKE,SHISHAMO
3,11:20-11:40,おうちすっきー,チャットモンチー
4,11:45-12:10,the kallows,the pillows
,,　,
,休憩,(休憩),
,,　,
5,13:30-13:50,ポルノグラフィティ,extreme
6,13:55-14:15,125D,175R
7,14:20-14:40,TANIMA,WANIMA
8,14:45-15:10,つくばメタル村,オムニバス
9,15:15-15:40,ロマンチックデパート,ASIAN KUNG-FU GENERATION
,,　,
,休憩,(休憩),
,,　,
10,16:20-16:40,発芽玄米,米津玄師
11,16:45-17:05,Lalileo Lalilei,Galileo Galilei
12,17:10-17:25,sleepless nights,SHANK
13,17:30-17:55,デンジャラス謝肉祭,ブルーハーツ
14,18:00-18:25,つくばユニゾン村,UNISON SQUARE GARDEN
,,　,
,18:25,(終了),
