,出演時間,バンド名,コピーバンド元
,<b>弾き語りの部</b>,,
1,10:00-10:20,ミッドナイト同好会,
2,10:20-10:40,ほとけ,
3,10:40-11:00,バジル,
4,11:00-11:20,超髭男,
5,11:20-11:35,デデデ粉,
6,11:35-11:50,マハデプ,
7,11:50-12:15,てふこ,
,,　,
,12:15-13:30,(休憩),
,,　,
,<b>バンドの部</b>,,
8,13:30-13:50,スーパーウルトラハイパーミラくるくるり,くるり
9,13:55-14:15,ガールズバンド(仮),VOCALOID
10,14:20-14:40,The Offpacoring,The Offspring
11,14:45-15:10,おうちすっきー,チャットモンチー
,,　,
,15:10-15:45,(休憩),
,,　,
12,15:45-16:10,IKURA NO SASHIMI,SEKAI NO OWARI
13,16:15-16:40,矢沢さんP feat.もえっぽいど,VOCALOID
14,16:45-17:05,負け犬,syrup 16g
15,17:10-17:30,TANIMA,WANIMA
16,17:35-18:00,デンジャラス謝肉祭,THE BLUE HEARTS
,,　,
,18:00-18:30,(休憩),
,,　,
,18:30-18:50,DEDEDEGARDEN,ELLEGARDEN
,18:55-19:20,The Easpots,The Cribs
,19:25-19:50,さわやかなバンド THE FINAL,さわやかな曲
,19:55-20:20,NICONI Touches the おっ,NICO Touches the Walls
,,　　,
,20:20,(終了),
