,出演時間,バンド名,コピーバンド元
,<b>弾き語りの部</b>,,
1,10:30~10:45,そこはかとなくタツロー,
2,10:45~11:00,最高♥,
3,11:00~11:15,9%ももの,
4,11:15~11:30,うすいすねお,
5,11:30~11:45,ほまふまれ,
6,11:45~12:00,バジル,
7,12:00~12:15,矢沢,
8,12:15~12:30,しめじ,
9,12:30~12:45,デデデ粉,
,,　,
,12:45~13:30,(昼休み),
,,　,
10,13:30~13:45,テレス,
11,13:45~14:00,めいこ,
12,14:00~14:15,獄千,
13,14:15~14:30,バビひろし(仮),
14,14:30~14:45,かざます,
15,14:45~15:00,Buddha vs. Einstein,
16,15:00~15:15,奥下琴味,
17,15:15~15:30,BMGさくら,
,,　,
,15:30~15:50,(休憩),
,,　,
,<b>バンドの部</b>,,
18,15:50~16:10,NICONI Touches the おっ,NICO Touches the Walls
19,16:15~16:35,優柔 of 不断,BUMP OF CHICKEN
20,16:40~17:00,くるくるり,くるり
21,17:05~17:25,だんご三姉妹,GO!GO!7188
22,17:30~17:50,Electric Bobby Land,Led Zeppelin
23,17:55~18:15,ベーコン,クリープハイプ
,,　,
,18:15~18:35,(休憩),
,,　,
24,18:35~18:55,おいしいなぁ蜜柑,椎名林檎
25,19:00~19:20,JAM理論,相対性理論
26,19:25~19:45,ユニゾン村quartet,UNISON SQUARE GARDEN
27,19:50~20:10,ロマンチックデパート,ASIAN KUNG-FU GENERATION
28,20:15~20:35,明日RanRanで,MONOEYESなど
,,　,
,20:35,(終了),
