,08月21日(金)
7-9,フェスoasis
9-10.5,amone day
10.5-12,負けないでつなお
12-13.5,offpacoring
13.5-15,うたまろUK
15-16.5,フェスアニソン
16.5-18,Amo41
18-19.5,The Who
19.5-21,サマフェスクリープ
21-22,フェスTaylor
