,08月18日(火)
7-9,×
9-10.5,×
10.5-12,×
12:15〜,てふつ
13.5-15,てふつ
15-16.5,hellos
16.5-18,amazarashi
18-19.5,flumpool
19.5-21,言語学概論
21-22,ワリカン
