,08月11日(火)
7-9,×
9-10.5,×
10.5-12,×
12:15〜,フェスoasis
13.5-15,バジルofHIMICO
15-16.5,ツチノコ
16.5-18,Duquesne Train
18-19.5,ピカチュリン
19.5-21,デデデガーデン
21-22,ココッシュ
