,9月18日（金）
7-9,木村
9-10.5,フェス理論
10.5-12,フェスエゴイスト
12-13.5,hellos
13.5-15,フェスシド
15-16.5,ゆたか
16.5-18,フェスTaylor
18-19.5,フェスアジカン
19.5-21,フレミング
21-22,デデデ
